,ACN US Equity,AMD US Equity,AKAM US Equity,ADSK US Equity,CA US Equity,GIB US Equity,CSCO US Equity,EMC US Equity,HPQ US Equity,INTC US Equity,IBM US Equity,MSFT US Equity,MSI US Equity,NVDA US Equity,RAX US Equity,SYMC US Equity,TEL US Equity,TDC US Equity,TXN US Equity,XRX US Equity
9/24/13,$75.14 ,$3.80 ,$51.93 ,$40.82 ,$30.26 ,$35.67 ,$24.14 ,$25.90 ,$9.64 ,$23.71 ,$189.97 ,$32.46 ,$59.99 ,$15.70 ,$52.67 ,$24.69 ,$52.32 ,$58.44 ,$40.32 ,$10.31 
9/25/13,$76.12 ,$3.91 ,$52.08 ,$40.67 ,$30.34 ,$35.77 ,$24.43 ,$26.20 ,$9.72 ,$23.70 ,$189.47 ,$32.51 ,$59.85 ,$15.73 ,$52.02 ,$24.85 ,$52.43 ,$58.05 ,$40.32 ,$10.42 
9/26/13,$75.87 ,$3.89 ,$52.77 ,$41.94 ,$30.25 ,$35.19 ,$23.77 ,$26.28 ,$9.67 ,$23.41 ,$190.22 ,$32.77 ,$59.87 ,$15.67 ,$53.14 ,$25.06 ,$52.16 ,$56.90 ,$40.38 ,$10.38 
9/27/13,$74.09 ,$3.86 ,$51.75 ,$41.79 ,$30.06 ,$35.01 ,$23.33 ,$26.07 ,$9.61 ,$22.98 ,$186.92 ,$33.27 ,$59.75 ,$15.58 ,$53.35 ,$24.73 ,$51.96 ,$56.51 ,$40.16 ,$10.37 
9/30/13,$73.64 ,$3.81 ,$51.70 ,$41.17 ,$29.67 ,$35.10 ,$23.43 ,$25.56 ,$9.53 ,$22.92 ,$185.18 ,$33.28 ,$59.38 ,$15.56 ,$52.76 ,$24.75 ,$51.78 ,$55.44 ,$40.29 ,$10.29 
10/1/13,$73.82 ,$3.86 ,$52.42 ,$40.49 ,$29.93 ,$35.40 ,$23.24 ,$25.71 ,$9.67 ,$22.83 ,$186.38 ,$33.58 ,$60.89 ,$15.55 ,$53.20 ,$24.65 ,$52.07 ,$55.25 ,$40.40 ,$10.49 
10/2/13,$73.51 ,$3.90 ,$52.22 ,$42.55 ,$29.75 ,$35.92 ,$23.32 ,$25.72 ,$9.72 ,$22.89 ,$184.96 ,$33.92 ,$60.70 ,$15.54 ,$53.50 ,$24.52 ,$52.05 ,$55.37 ,$40.26 ,$10.51 
10/3/13,$73.14 ,$3.90 ,$51.16 ,$42.15 ,$29.23 ,$35.80 ,$23.01 ,$25.16 ,$9.50 ,$22.60 ,$183.86 ,$33.86 ,$60.56 ,$15.38 ,$50.60 ,$24.27 ,$51.57 ,$54.39 ,$40.22 ,$10.40 
10/4/13,$73.26 ,$3.91 ,$52.32 ,$42.49 ,$29.57 ,$35.66 ,$23.02 ,$25.43 ,$9.65 ,$22.81 ,$184.10 ,$33.88 ,$61.14 ,$15.59 ,$50.43 ,$24.84 ,$52.12 ,$54.12 ,$39.93 ,$10.53 
10/7/13,$72.35 ,$3.86 ,$51.67 ,$41.69 ,$29.27 ,$35.79 ,$22.89 ,$25.32 ,$9.50 ,$22.83 ,$182.01 ,$33.30 ,$60.89 ,$15.59 ,$49.97 ,$24.82 ,$51.47 ,$53.46 ,$39.86 ,$10.40 
10/8/13,$71.09 ,$3.72 ,$50.00 ,$40.39 ,$28.82 ,$35.66 ,$22.64 ,$24.58 ,$9.42 ,$22.48 ,$178.72 ,$33.01 ,$59.62 ,$15.46 ,$46.99 ,$24.74 ,$50.75 ,$52.58 ,$39.24 ,$10.14 
10/9/13,$70.28 ,$3.65 ,$49.30 ,$39.96 ,$28.70 ,$35.01 ,$22.50 ,$24.81 ,$10.26 ,$22.59 ,$181.32 ,$33.07 ,$59.39 ,$15.22 ,$46.34 ,$24.67 ,$49.91 ,$52.75 ,$39.29 ,$10.21 
10/10/13,$71.26 ,$3.79 ,$51.06 ,$40.61 ,$29.25 ,$35.46 ,$23.01 ,$25.16 ,$10.13 ,$23.10 ,$184.77 ,$33.76 ,$60.61 ,$15.39 ,$48.14 ,$24.74 ,$51.33 ,$52.69 ,$40.12 ,$10.65 
10/11/13,$72.71 ,$3.83 ,$51.89 ,$41.05 ,$29.52 ,$36.26 ,$23.28 ,$25.30 ,$10.35 ,$23.26 ,$186.16 ,$34.13 ,$60.52 ,$15.26 ,$48.81 ,$25.08 ,$51.98 ,$52.95 ,$40.38 ,$10.64 
10/14/13,$72.66 ,$3.97 ,$51.89 ,$41.00 ,$29.77 ,$36.55 ,$23.34 ,$25.39 ,$10.40 ,$23.45 ,$186.97 ,$34.45 ,$61.03 ,$15.49 ,$49.52 ,$25.18 ,$52.20 ,$52.58 ,$40.55 ,$10.66 
10/15/13,$71.60 ,$4.02 ,$51.31 ,$40.89 ,$29.49 ,$36.94 ,$23.18 ,$24.65 ,$10.35 ,$23.39 ,$184.66 ,$34.49 ,$60.49 ,$15.41 ,$48.37 ,$24.96 ,$51.21 ,$42.91 ,$40.25 ,$10.56 
10/16/13,$72.43 ,$4.09 ,$51.81 ,$40.78 ,$29.76 ,$37.16 ,$23.00 ,$24.78 ,$10.57 ,$23.70 ,$186.73 ,$34.64 ,$60.71 ,$15.60 ,$49.22 ,$25.13 ,$51.71 ,$41.48 ,$40.75 ,$10.66 
10/17/13,$72.85 ,$4.09 ,$52.04 ,$40.41 ,$30.02 ,$36.18 ,$22.78 ,$24.62 ,$10.62 ,$23.92 ,$174.83 ,$34.92 ,$60.92 ,$15.63 ,$48.87 ,$25.09 ,$52.48 ,$42.52 ,$40.65 ,$10.80 
10/18/13,$72.88 ,$3.53 ,$52.15 ,$40.28 ,$30.10 ,$36.02 ,$22.96 ,$25.08 ,$10.66 ,$23.88 ,$173.78 ,$34.96 ,$60.81 ,$15.81 ,$49.70 ,$25.39 ,$53.57 ,$42.64 ,$40.71 ,$10.91 
10/21/13,$73.53 ,$3.37 ,$52.20 ,$40.02 ,$30.16 ,$35.03 ,$22.93 ,$25.24 ,$10.69 ,$24.14 ,$172.86 ,$34.99 ,$61.18 ,$15.85 ,$50.43 ,$25.41 ,$53.67 ,$43.44 ,$40.99 ,$11.01 
10/22/13,$73.95 ,$3.18 ,$53.39 ,$40.00 ,$30.36 ,$35.06 ,$22.65 ,$24.04 ,$10.92 ,$24.07 ,$174.97 ,$34.58 ,$60.43 ,$15.77 ,$50.86 ,$25.21 ,$53.88 ,$43.96 ,$40.28 ,$10.96 
10/23/13,$73.78 ,$3.14 ,$51.87 ,$39.49 ,$30.29 ,$33.64 ,$22.26 ,$23.67 ,$10.79 ,$23.74 ,$175.77 ,$33.76 ,$62.40 ,$15.50 ,$51.61 ,$24.62 ,$53.47 ,$43.42 ,$39.73 ,$10.73 
10/24/13,$73.50 ,$3.23 ,$46.06 ,$40.20 ,$30.39 ,$34.40 ,$22.37 ,$23.71 ,$10.84 ,$23.78 ,$177.80 ,$33.72 ,$62.51 ,$15.39 ,$52.90 ,$21.49 ,$53.74 ,$45.45 ,$39.88 ,$9.61 
10/25/13,$73.61 ,$3.34 ,$45.88 ,$39.87 ,$31.40 ,$34.01 ,$22.46 ,$23.80 ,$10.90 ,$24.24 ,$176.85 ,$35.73 ,$62.99 ,$15.24 ,$52.69 ,$22.03 ,$53.60 ,$44.47 ,$40.23 ,$9.71 
10/28/13,$74.32 ,$3.32 ,$45.78 ,$39.67 ,$31.45 ,$33.51 ,$22.55 ,$23.85 ,$10.83 ,$24.36 ,$177.35 ,$35.57 ,$62.44 ,$15.21 ,$53.00 ,$22.04 ,$53.18 ,$45.89 ,$41.01 ,$9.77 
10/29/13,$74.91 ,$3.33 ,$46.57 ,$40.30 ,$31.76 ,$33.60 ,$22.83 ,$24.00 ,$10.82 ,$24.52 ,$182.12 ,$35.52 ,$62.73 ,$15.23 ,$53.33 ,$22.13 ,$52.99 ,$46.25 ,$41.76 ,$9.81 
10/30/13,$74.25 ,$3.30 ,$45.55 ,$40.04 ,$31.79 ,$33.60 ,$22.71 ,$24.00 ,$10.99 ,$24.50 ,$180.15 ,$35.54 ,$62.25 ,$15.22 ,$51.42 ,$22.67 ,$51.04 ,$45.47 ,$41.72 ,$9.82 
