,ACN US Equity,AMD US Equity,AKAM US Equity,ADSK US Equity,CA US Equity,GIB US Equity,CSCO US Equity,EMC US Equity,HPQ US Equity,INTC US Equity,IBM US Equity,MSFT US Equity,MSI US Equity,NVDA US Equity,RAX US Equity,SYMC US Equity,TEL US Equity,TDC US Equity,TXN US Equity,XRX US Equity
2/20/13,$75.00 ,$2.70 ,$37.40 ,$38.73 ,$24.65 ,$27.42 ,$21.11 ,$23.50 ,$7.58 ,$20.73 ,$199.31 ,$27.87 ,$61.26 ,$12.38 ,$54.98 ,$22.56 ,$40.96 ,$62.06 ,$33.06 ,$7.86 
2/21/13,$73.85 ,$2.60 ,$37.07 ,$37.97 ,$24.41 ,$26.52 ,$20.76 ,$23.41 ,$7.76 ,$20.25 ,$198.33 ,$27.49 ,$60.88 ,$12.29 ,$55.33 ,$22.31 ,$40.48 ,$61.55 ,$32.48 ,$7.84 
2/22/13,$74.80 ,$2.61 ,$36.27 ,$37.91 ,$24.56 ,$26.55 ,$20.90 ,$23.44 ,$8.72 ,$20.42 ,$201.09 ,$27.76 ,$61.90 ,$12.52 ,$54.59 ,$22.93 ,$41.01 ,$63.19 ,$34.18 ,$8.12 
2/25/13,$73.91 ,$2.53 ,$36.31 ,$36.62 ,$24.22 ,$26.26 ,$20.66 ,$22.83 ,$8.66 ,$20.23 ,$197.51 ,$27.37 ,$60.28 ,$12.30 ,$54.79 ,$22.43 ,$39.69 ,$62.81 ,$33.73 ,$7.89 
2/26/13,$73.83 ,$2.46 ,$36.36 ,$36.79 ,$24.21 ,$25.75 ,$20.61 ,$22.94 ,$8.98 ,$20.58 ,$199.14 ,$27.37 ,$60.63 ,$12.37 ,$55.05 ,$22.46 ,$39.80 ,$60.46 ,$33.76 ,$8.02 
2/27/13,$74.41 ,$2.53 ,$36.58 ,$36.20 ,$24.63 ,$26.28 ,$20.89 ,$23.28 ,$8.98 ,$20.93 ,$202.33 ,$27.81 ,$62.09 ,$12.60 ,$55.12 ,$23.23 ,$40.00 ,$58.38 ,$34.29 ,$8.18 
2/28/13,$74.36 ,$2.49 ,$36.96 ,$36.72 ,$24.51 ,$26.35 ,$20.86 ,$23.01 ,$9.14 ,$20.88 ,$200.83 ,$27.80 ,$62.21 ,$12.66 ,$55.86 ,$23.44 ,$40.13 ,$58.06 ,$34.43 ,$8.11 
3/1/13,$74.82 ,$2.42 ,$36.65 ,$37.36 ,$24.42 ,$26.37 ,$20.83 ,$23.25 ,$9.15 ,$21.03 ,$202.91 ,$27.95 ,$62.03 ,$12.71 ,$56.11 ,$23.68 ,$40.23 ,$58.56 ,$34.52 ,$8.15 
3/4/13,$75.24 ,$2.40 ,$37.40 ,$38.65 ,$24.45 ,$26.25 ,$20.74 ,$23.22 ,$9.07 ,$21.27 ,$205.19 ,$28.15 ,$62.50 ,$12.66 ,$56.20 ,$23.96 ,$40.45 ,$58.38 ,$34.56 ,$8.18 
3/5/13,$76.92 ,$2.43 ,$37.49 ,$39.34 ,$24.91 ,$25.92 ,$21.22 ,$23.74 ,$9.25 ,$21.51 ,$206.53 ,$28.35 ,$62.97 ,$12.80 ,$57.15 ,$24.20 ,$40.83 ,$59.62 ,$35.00 ,$8.22 
3/6/13,$77.41 ,$2.43 ,$37.53 ,$39.94 ,$25.11 ,$25.96 ,$21.72 ,$24.30 ,$9.50 ,$21.75 ,$208.38 ,$28.09 ,$63.11 ,$12.79 ,$57.10 ,$24.52 ,$41.44 ,$59.30 ,$35.14 ,$8.51 
3/7/13,$77.57 ,$2.55 ,$37.28 ,$40.01 ,$24.97 ,$26.50 ,$21.80 ,$23.95 ,$9.47 ,$21.89 ,$209.42 ,$28.14 ,$62.64 ,$12.76 ,$57.29 ,$24.67 ,$41.49 ,$57.44 ,$35.20 ,$8.57 
3/8/13,$78.35 ,$2.56 ,$37.24 ,$40.17 ,$25.08 ,$25.85 ,$21.83 ,$24.30 ,$9.53 ,$21.58 ,$210.38 ,$28.00 ,$62.75 ,$12.82 ,$55.97 ,$24.57 ,$42.22 ,$59.03 ,$35.29 ,$8.71 
3/11/13,$78.30 ,$2.59 ,$35.60 ,$40.36 ,$25.10 ,$26.29 ,$21.88 ,$24.56 ,$9.55 ,$21.69 ,$210.08 ,$27.87 ,$62.56 ,$12.70 ,$56.10 ,$24.48 ,$42.05 ,$59.06 ,$35.52 ,$8.66 
3/12/13,$78.02 ,$2.61 ,$34.77 ,$40.30 ,$25.22 ,$26.04 ,$21.70 ,$24.47 ,$9.72 ,$21.64 ,$210.55 ,$27.91 ,$62.13 ,$12.74 ,$54.41 ,$24.45 ,$42.09 ,$58.88 ,$35.62 ,$8.59 
3/13/13,$77.93 ,$2.60 ,$34.66 ,$40.46 ,$25.30 ,$25.81 ,$21.58 ,$24.90 ,$9.68 ,$21.66 ,$212.06 ,$27.92 ,$62.22 ,$12.74 ,$51.53 ,$24.54 ,$41.92 ,$58.35 ,$35.29 ,$8.59 
3/14/13,$78.26 ,$2.63 ,$34.66 ,$40.69 ,$25.52 ,$26.03 ,$21.59 ,$25.62 ,$9.96 ,$21.65 ,$215.80 ,$28.14 ,$62.34 ,$12.75 ,$51.29 ,$24.73 ,$42.54 ,$58.51 ,$35.38 ,$8.69 
3/15/13,$76.60 ,$2.60 ,$34.69 ,$40.14 ,$25.44 ,$26.02 ,$21.93 ,$25.35 ,$10.07 ,$21.38 ,$214.92 ,$28.04 ,$62.07 ,$12.64 ,$51.28 ,$24.55 ,$41.83 ,$57.73 ,$35.08 ,$8.71 
3/18/13,$76.81 ,$2.65 ,$34.55 ,$40.03 ,$25.22 ,$25.66 ,$21.67 ,$25.05 ,$10.37 ,$21.26 ,$213.21 ,$28.10 ,$61.64 ,$12.55 ,$52.28 ,$24.51 ,$41.63 ,$56.93 ,$34.62 ,$8.66 
3/19/13,$76.18 ,$2.67 ,$34.67 ,$39.67 ,$24.92 ,$25.71 ,$21.52 ,$24.70 ,$10.49 ,$21.14 ,$213.44 ,$28.18 ,$61.67 ,$12.47 ,$50.09 ,$24.22 ,$41.65 ,$56.28 ,$34.66 ,$8.62 
3/20/13,$76.49 ,$2.75 ,$35.45 ,$41.16 ,$25.15 ,$26.00 ,$21.67 ,$24.85 ,$10.41 ,$21.18 ,$215.06 ,$28.32 ,$62.40 ,$12.62 ,$51.47 ,$24.52 ,$42.11 ,$57.60 ,$35.06 ,$8.76 
3/21/13,$74.30 ,$2.64 ,$35.01 ,$41.03 ,$25.09 ,$26.03 ,$20.84 ,$24.50 ,$10.13 ,$21.04 ,$212.26 ,$28.11 ,$62.43 ,$12.42 ,$51.59 ,$24.40 ,$41.56 ,$57.23 ,$34.29 ,$8.55 
3/22/13,$73.88 ,$2.54 ,$34.78 ,$41.39 ,$25.32 ,$25.99 ,$20.75 ,$24.15 ,$10.46 ,$21.33 ,$212.08 ,$28.25 ,$63.61 ,$12.48 ,$51.23 ,$24.63 ,$41.82 ,$57.13 ,$34.46 ,$8.60 
3/25/13,$73.41 ,$2.51 ,$34.40 ,$40.38 ,$25.05 ,$26.08 ,$20.85 ,$23.74 ,$10.49 ,$21.15 ,$210.74 ,$28.16 ,$63.29 ,$12.41 ,$51.14 ,$24.56 ,$41.54 ,$56.80 ,$34.48 ,$8.51 
3/26/13,$74.54 ,$2.54 ,$35.08 ,$40.60 ,$24.98 ,$26.27 ,$20.85 ,$23.75 ,$10.73 ,$21.77 ,$212.36 ,$28.16 ,$63.46 ,$12.50 ,$52.03 ,$24.57 ,$41.68 ,$56.94 ,$35.10 ,$8.58 
3/27/13,$74.88 ,$2.55 ,$35.16 ,$40.92 ,$25.01 ,$26.71 ,$20.83 ,$23.83 ,$10.71 ,$21.83 ,$210.89 ,$28.37 ,$63.56 ,$12.65 ,$49.74 ,$24.53 ,$41.61 ,$57.25 ,$35.08 ,$8.54 
3/28/13,$75.97 ,$2.55 ,$35.32 ,$41.25 ,$25.18 ,$27.16 ,$20.90 ,$23.89 ,$10.82 ,$21.84 ,$213.30 ,$28.61 ,$64.03 ,$12.83 ,$50.48 ,$24.68 ,$41.93 ,$58.51 ,$35.48 ,$8.60 
4/1/13,$75.85 ,$2.44 ,$34.90 ,$39.93 ,$24.85 ,$26.40 ,$20.83 ,$23.57 ,$10.58 ,$21.43 ,$212.38 ,$28.61 ,$63.70 ,$12.41 ,$49.47 ,$24.46 ,$41.60 ,$57.02 ,$35.01 ,$8.60 
4/2/13,$76.67 ,$2.39 ,$34.84 ,$39.57 ,$24.75 ,$26.26 ,$21.22 ,$23.84 ,$10.03 ,$21.46 ,$214.36 ,$28.80 ,$63.70 ,$12.28 ,$48.66 ,$24.66 ,$41.46 ,$57.16 ,$34.77 ,$8.85 
4/3/13,$76.60 ,$2.32 ,$34.78 ,$38.54 ,$24.54 ,$25.91 ,$21.20 ,$23.59 ,$9.95 ,$21.05 ,$212.66 ,$28.56 ,$62.80 ,$12.13 ,$47.93 ,$24.45 ,$41.33 ,$56.07 ,$34.15 ,$8.56 
4/4/13,$76.61 ,$2.33 ,$34.06 ,$38.48 ,$24.78 ,$26.01 ,$21.04 ,$23.45 ,$10.12 ,$21.14 ,$211.31 ,$28.60 ,$62.99 ,$12.25 ,$46.86 ,$24.50 ,$41.41 ,$51.89 ,$34.49 ,$8.66 
4/5/13,$76.25 ,$2.29 ,$34.18 ,$38.35 ,$24.60 ,$26.38 ,$20.61 ,$23.08 ,$9.97 ,$20.94 ,$209.41 ,$28.70 ,$62.67 ,$12.46 ,$47.29 ,$24.29 ,$41.14 ,$53.35 ,$34.20 ,$8.63 
4/8/13,$76.55 ,$2.59 ,$34.49 ,$38.35 ,$24.30 ,$26.11 ,$20.57 ,$23.13 ,$9.96 ,$21.09 ,$209.32 ,$28.59 ,$63.17 ,$12.43 ,$46.63 ,$24.25 ,$41.27 ,$53.30 ,$35.07 ,$8.64 
4/9/13,$76.21 ,$2.63 ,$34.67 ,$38.46 ,$24.67 ,$26.08 ,$20.97 ,$23.14 ,$10.09 ,$21.75 ,$209.22 ,$29.61 ,$63.64 ,$12.63 ,$47.55 ,$24.21 ,$41.41 ,$54.02 ,$35.16 ,$8.78 
4/10/13,$77.01 ,$2.61 ,$36.04 ,$39.65 ,$24.93 ,$26.80 ,$21.47 ,$23.23 ,$10.13 ,$22.26 ,$212.00 ,$30.28 ,$64.69 ,$12.83 ,$48.50 ,$24.45 ,$41.76 ,$56.26 ,$35.76 ,$8.96 
4/11/13,$77.78 ,$2.52 ,$35.79 ,$39.01 ,$24.88 ,$26.85 ,$21.69 ,$22.89 ,$9.48 ,$21.83 ,$212.92 ,$28.94 ,$64.63 ,$12.77 ,$48.51 ,$24.30 ,$42.02 ,$55.41 ,$35.69 ,$9.27 
4/12/13,$77.23 ,$2.48 ,$35.41 ,$38.36 ,$24.93 ,$25.84 ,$21.54 ,$23.11 ,$9.49 ,$21.68 ,$211.38 ,$28.79 ,$63.87 ,$13.09 ,$48.40 ,$24.25 ,$41.61 ,$55.20 ,$35.85 ,$9.06 
4/15/13,$75.24 ,$2.40 ,$34.44 ,$36.71 ,$24.66 ,$25.83 ,$21.05 ,$22.78 ,$9.39 ,$21.38 ,$209.26 ,$28.69 ,$61.83 ,$12.82 ,$46.98 ,$23.95 ,$40.34 ,$53.88 ,$35.27 ,$8.91 
4/16/13,$77.49 ,$2.44 ,$34.79 ,$37.69 ,$24.84 ,$26.10 ,$21.16 ,$23.08 ,$9.55 ,$21.92 ,$212.00 ,$28.97 ,$62.96 ,$12.96 ,$47.74 ,$24.15 ,$41.37 ,$54.93 ,$35.74 ,$9.07 
4/17/13,$76.70 ,$2.40 ,$34.18 ,$36.82 ,$24.45 ,$25.88 ,$20.63 ,$22.71 ,$9.30 ,$21.93 ,$209.67 ,$28.83 ,$62.13 ,$12.79 ,$46.09 ,$23.78 ,$39.73 ,$52.71 ,$34.21 ,$8.92 
4/18/13,$75.57 ,$2.51 ,$33.74 ,$35.93 ,$24.45 ,$25.73 ,$20.58 ,$22.34 ,$9.18 ,$22.24 ,$207.15 ,$28.79 ,$61.15 ,$12.54 ,$44.85 ,$23.56 ,$39.11 ,$51.54 ,$33.92 ,$8.63 
4/19/13,$74.74 ,$2.47 ,$33.55 ,$36.12 ,$24.36 ,$25.77 ,$20.46 ,$21.50 ,$8.88 ,$22.44 ,$190.00 ,$29.77 ,$61.72 ,$12.57 ,$45.05 ,$23.55 ,$39.38 ,$50.35 ,$34.25 ,$8.46 
4/22/13,$74.94 ,$2.46 ,$34.28 ,$36.24 ,$24.48 ,$25.78 ,$20.59 ,$21.85 ,$8.97 ,$22.88 ,$187.83 ,$30.83 ,$61.78 ,$12.59 ,$44.38 ,$23.67 ,$39.55 ,$49.85 ,$34.81 ,$8.60 
4/23/13,$76.30 ,$2.53 ,$35.47 ,$37.26 ,$24.84 ,$25.85 ,$20.91 ,$22.36 ,$8.92 ,$23.38 ,$191.61 ,$30.60 ,$61.75 ,$12.92 ,$45.65 ,$24.16 ,$40.50 ,$49.41 ,$35.70 ,$8.44 
4/24/13,$77.81 ,$2.61 ,$36.09 ,$37.56 ,$25.19 ,$26.45 ,$20.39 ,$22.52 ,$9.01 ,$23.66 ,$191.71 ,$31.76 ,$56.02 ,$13.36 ,$45.28 ,$24.37 ,$42.16 ,$49.86 ,$36.01 ,$8.37 
4/25/13,$79.33 ,$2.68 ,$42.48 ,$37.87 ,$26.03 ,$27.09 ,$20.64 ,$22.63 ,$8.89 ,$23.38 ,$193.95 ,$31.94 ,$56.39 ,$13.47 ,$47.12 ,$24.45 ,$42.91 ,$50.43 ,$36.11 ,$8.51 
4/26/13,$78.66 ,$2.64 ,$42.61 ,$37.31 ,$25.98 ,$26.83 ,$20.67 ,$22.39 ,$9.07 ,$23.40 ,$194.31 ,$31.79 ,$56.80 ,$13.41 ,$46.87 ,$24.42 ,$42.43 ,$52.09 ,$35.74 ,$8.38 
4/29/13,$81.13 ,$2.68 ,$43.03 ,$38.21 ,$26.63 ,$26.73 ,$20.98 ,$22.49 ,$9.31 ,$23.76 ,$199.15 ,$32.61 ,$57.44 ,$13.57 ,$48.14 ,$24.59 ,$42.91 ,$51.57 ,$35.97 ,$8.45 
4/30/13,$81.44 ,$2.82 ,$43.91 ,$39.38 ,$26.97 ,$31.66 ,$20.92 ,$22.43 ,$9.35 ,$23.95 ,$202.54 ,$33.10 ,$57.20 ,$13.77 ,$48.20 ,$24.30 ,$43.55 ,$51.07 ,$36.21 ,$8.58 
5/1/13,$79.77 ,$3.22 ,$43.64 ,$38.19 ,$26.80 ,$31.58 ,$20.38 ,$22.46 ,$9.24 ,$23.99 ,$199.63 ,$32.72 ,$56.37 ,$13.65 ,$48.89 ,$24.35 ,$42.72 ,$51.34 ,$36.41 ,$8.33 
5/2/13,$79.49 ,$3.41 ,$44.32 ,$38.53 ,$27.23 ,$31.32 ,$20.73 ,$22.88 ,$9.28 ,$24.11 ,$202.39 ,$33.16 ,$56.89 ,$13.81 ,$49.99 ,$24.56 ,$43.49 ,$53.06 ,$36.70 ,$8.41 
5/3/13,$79.50 ,$3.60 ,$45.27 ,$39.52 ,$27.73 ,$31.08 ,$20.83 ,$23.38 ,$9.37 ,$23.96 ,$204.51 ,$33.49 ,$57.29 ,$13.87 ,$49.49 ,$24.84 ,$44.44 ,$50.65 ,$37.01 ,$8.54 
5/6/13,$78.82 ,$3.61 ,$45.06 ,$39.60 ,$27.67 ,$31.12 ,$20.81 ,$23.29 ,$9.37 ,$23.91 ,$202.78 ,$33.75 ,$56.95 ,$13.83 ,$49.95 ,$24.95 ,$44.88 ,$51.96 ,$37.04 ,$8.76 
5/7/13,$79.05 ,$3.54 ,$45.15 ,$39.54 ,$27.77 ,$31.16 ,$20.38 ,$23.12 ,$9.31 ,$24.15 ,$203.63 ,$33.31 ,$56.79 ,$13.65 ,$49.72 ,$25.10 ,$44.73 ,$52.05 ,$37.04 ,$8.77 
5/8/13,$80.00 ,$3.83 ,$45.29 ,$39.98 ,$27.11 ,$31.10 ,$20.72 ,$23.45 ,$9.57 ,$24.25 ,$204.82 ,$32.99 ,$57.00 ,$13.90 ,$52.24 ,$24.49 ,$44.90 ,$54.08 ,$37.09 ,$8.80 
5/9/13,$80.09 ,$3.86 ,$45.61 ,$39.75 ,$26.81 ,$31.54 ,$20.83 ,$22.90 ,$9.62 ,$24.36 ,$203.24 ,$32.66 ,$56.78 ,$13.91 ,$39.36 ,$24.37 ,$44.50 ,$55.10 ,$37.01 ,$9.00 
5/10/13,$80.48 ,$3.95 ,$46.70 ,$39.75 ,$27.22 ,$31.89 ,$21.10 ,$23.34 ,$9.78 ,$24.50 ,$204.47 ,$32.69 ,$56.48 ,$14.54 ,$40.43 ,$24.35 ,$44.49 ,$55.25 ,$37.04 ,$9.00 
5/13/13,$79.92 ,$4.17 ,$46.71 ,$38.90 ,$26.98 ,$32.19 ,$21.27 ,$23.04 ,$9.69 ,$24.08 ,$202.47 ,$33.03 ,$56.17 ,$14.24 ,$41.63 ,$24.22 ,$44.35 ,$53.85 ,$36.54 ,$8.89 
5/14/13,$80.55 ,$4.26 ,$46.90 ,$39.42 ,$27.14 ,$31.86 ,$21.27 ,$23.00 ,$9.77 ,$23.84 ,$203.21 ,$33.53 ,$56.89 ,$14.45 ,$42.80 ,$24.52 ,$44.93 ,$53.47 ,$36.51 ,$8.92 
5/15/13,$80.76 ,$4.38 ,$48.03 ,$39.43 ,$27.41 ,$32.01 ,$21.21 ,$23.02 ,$9.52 ,$24.20 ,$203.32 ,$33.85 ,$57.10 ,$14.70 ,$40.32 ,$24.66 ,$45.27 ,$54.27 ,$36.81 ,$9.00 
5/16/13,$80.61 ,$3.83 ,$46.93 ,$39.78 ,$27.30 ,$31.23 ,$23.89 ,$24.06 ,$9.70 ,$23.94 ,$204.69 ,$34.08 ,$57.53 ,$14.63 ,$40.28 ,$24.30 ,$45.32 ,$56.57 ,$36.60 ,$8.76 
5/17/13,$82.24 ,$4.07 ,$47.49 ,$37.11 ,$27.69 ,$31.88 ,$24.24 ,$24.24 ,$9.66 ,$24.04 ,$208.44 ,$34.87 ,$57.84 ,$14.87 ,$39.68 ,$24.30 ,$45.99 ,$57.34 ,$36.77 ,$8.82 
5/20/13,$82.53 ,$4.10 ,$47.89 ,$36.99 ,$27.71 ,$31.97 ,$23.95 ,$24.16 ,$9.62 ,$24.08 ,$207.60 ,$35.08 ,$58.25 ,$14.84 ,$39.29 ,$24.15 ,$46.09 ,$56.61 ,$36.63 ,$8.96 
5/21/13,$82.90 ,$4.02 ,$47.28 ,$37.48 ,$27.65 ,$31.67 ,$24.01 ,$24.10 ,$9.58 ,$24.15 ,$208.65 ,$34.85 ,$57.77 ,$14.92 ,$38.01 ,$24.03 ,$45.96 ,$58.24 ,$36.60 ,$9.02 
5/22/13,$82.52 ,$3.96 ,$46.12 ,$36.57 ,$27.37 ,$31.02 ,$23.34 ,$23.68 ,$9.64 ,$24.07 ,$206.99 ,$34.61 ,$57.30 ,$14.40 ,$37.56 ,$23.62 ,$45.50 ,$56.17 ,$36.01 ,$8.81 
5/23/13,$82.52 ,$4.01 ,$46.35 ,$36.46 ,$27.35 ,$30.83 ,$23.51 ,$23.66 ,$11.29 ,$24.05 ,$206.16 ,$34.15 ,$57.48 ,$14.63 ,$38.18 ,$23.06 ,$45.56 ,$54.90 ,$35.99 ,$8.92 
5/24/13,$82.22 ,$4.05 ,$46.04 ,$36.08 ,$27.40 ,$30.76 ,$23.53 ,$23.65 ,$10.99 ,$23.92 ,$205.72 ,$34.27 ,$57.81 ,$14.54 ,$39.19 ,$22.85 ,$45.28 ,$54.40 ,$35.99 ,$8.92 
5/28/13,$83.09 ,$4.05 ,$46.56 ,$37.07 ,$27.65 ,$30.69 ,$23.89 ,$23.87 ,$11.19 ,$24.08 ,$207.78 ,$35.02 ,$58.53 ,$14.53 ,$39.30 ,$22.90 ,$45.37 ,$54.46 ,$36.20 ,$9.01 
5/29/13,$82.95 ,$3.98 ,$46.36 ,$37.10 ,$27.19 ,$30.67 ,$24.12 ,$23.66 ,$11.46 ,$24.27 ,$207.92 ,$34.88 ,$58.32 ,$14.44 ,$37.95 ,$22.88 ,$44.61 ,$54.86 ,$36.09 ,$8.98 
5/30/13,$82.84 ,$4.04 ,$47.09 ,$37.90 ,$27.56 ,$30.68 ,$24.37 ,$24.93 ,$11.47 ,$24.21 ,$209.36 ,$35.03 ,$58.54 ,$14.63 ,$38.39 ,$22.95 ,$45.15 ,$57.10 ,$36.47 ,$8.99 
5/31/13,$82.11 ,$4.00 ,$46.12 ,$37.73 ,$27.32 ,$30.56 ,$24.12 ,$24.76 ,$11.09 ,$24.28 ,$208.02 ,$34.90 ,$57.96 ,$14.47 ,$37.53 ,$22.39 ,$44.39 ,$55.75 ,$35.91 ,$8.79 
6/3/13,$82.10 ,$3.96 ,$45.91 ,$37.38 ,$27.34 ,$30.93 ,$24.38 ,$24.74 ,$11.30 ,$25.24 ,$208.95 ,$35.59 ,$57.83 ,$14.45 ,$36.83 ,$22.40 ,$44.99 ,$55.60 ,$36.03 ,$8.90 
6/4/13,$81.25 ,$4.01 ,$44.65 ,$36.70 ,$27.61 ,$30.61 ,$24.36 ,$24.42 ,$11.18 ,$25.36 ,$206.19 ,$34.99 ,$57.41 ,$14.47 ,$35.69 ,$21.90 ,$44.83 ,$55.18 ,$36.64 ,$8.99 
6/5/13,$79.58 ,$3.91 ,$44.30 ,$36.12 ,$27.28 ,$30.01 ,$24.32 ,$24.30 ,$10.98 ,$24.70 ,$202.74 ,$34.78 ,$56.27 ,$14.16 ,$34.46 ,$21.62 ,$44.45 ,$54.79 ,$35.87 ,$8.75 
6/6/13,$79.55 ,$3.94 ,$44.56 ,$35.97 ,$27.99 ,$30.15 ,$24.55 ,$24.76 ,$11.01 ,$24.65 ,$203.80 ,$34.96 ,$56.92 ,$14.25 ,$34.90 ,$21.85 ,$44.45 ,$55.21 ,$35.67 ,$8.80 
6/7/13,$80.90 ,$3.91 ,$45.26 ,$36.65 ,$29.14 ,$30.85 ,$24.49 ,$24.74 ,$11.26 ,$24.59 ,$206.35 ,$35.67 ,$56.94 ,$14.45 ,$35.52 ,$22.19 ,$45.53 ,$56.90 ,$36.18 ,$9.17 
6/10/13,$81.55 ,$4.06 ,$44.75 ,$35.97 ,$29.23 ,$30.26 ,$24.36 ,$24.88 ,$11.12 ,$25.01 ,$205.02 ,$35.47 ,$56.61 ,$14.44 ,$35.55 ,$22.25 ,$45.20 ,$57.33 ,$36.62 ,$9.21 
6/11/13,$80.41 ,$3.96 ,$43.84 ,$35.33 ,$28.61 ,$29.55 ,$24.07 ,$24.67 ,$11.01 ,$24.71 ,$203.98 ,$34.84 ,$56.38 ,$14.17 ,$35.99 ,$22.01 ,$44.89 ,$56.53 ,$35.26 ,$9.10 
6/12/13,$79.71 ,$3.90 ,$42.52 ,$34.93 ,$28.25 ,$29.29 ,$23.99 ,$24.33 ,$11.31 ,$24.46 ,$201.20 ,$35.00 ,$56.26 ,$14.05 ,$34.83 ,$22.18 ,$44.70 ,$55.86 ,$34.79 ,$8.85 
6/13/13,$81.08 ,$3.95 ,$42.64 ,$35.88 ,$28.53 ,$30.23 ,$24.35 ,$24.71 ,$11.32 ,$24.99 ,$203.77 ,$34.72 ,$57.19 ,$14.37 ,$34.50 ,$22.49 ,$45.62 ,$56.93 ,$35.48 ,$9.10 
6/14/13,$80.55 ,$3.94 ,$42.56 ,$35.09 ,$28.26 ,$29.55 ,$24.09 ,$24.76 ,$11.23 ,$24.92 ,$202.20 ,$34.40 ,$56.93 ,$14.35 ,$34.62 ,$22.36 ,$45.42 ,$56.08 ,$35.48 ,$9.10 
6/17/13,$82.45 ,$4.05 ,$42.94 ,$35.43 ,$28.59 ,$30.29 ,$24.70 ,$24.83 ,$11.42 ,$25.10 ,$203.04 ,$35.00 ,$57.33 ,$14.49 ,$35.60 ,$22.33 ,$46.17 ,$55.46 ,$35.78 ,$9.16 
6/18/13,$82.93 ,$4.09 ,$42.84 ,$35.13 ,$28.64 ,$30.61 ,$24.82 ,$24.99 ,$11.55 ,$25.47 ,$204.87 ,$34.98 ,$57.35 ,$14.40 ,$37.65 ,$22.73 ,$46.87 ,$55.34 ,$36.12 ,$9.49 
6/19/13,$81.83 ,$4.07 ,$42.56 ,$35.51 ,$28.21 ,$30.53 ,$24.68 ,$24.86 ,$11.55 ,$25.00 ,$201.94 ,$34.59 ,$56.78 ,$14.84 ,$36.34 ,$22.70 ,$45.97 ,$55.30 ,$35.71 ,$9.45 
6/20/13,$79.52 ,$3.87 ,$41.25 ,$34.56 ,$27.63 ,$29.67 ,$24.44 ,$24.74 ,$11.22 ,$24.19 ,$197.35 ,$33.49 ,$55.50 ,$14.44 ,$35.12 ,$22.39 ,$44.77 ,$52.92 ,$34.63 ,$9.23 
6/21/13,$79.40 ,$4.00 ,$40.75 ,$34.21 ,$27.52 ,$29.31 ,$24.48 ,$24.33 ,$10.96 ,$24.20 ,$195.46 ,$33.27 ,$55.82 ,$14.42 ,$37.20 ,$22.23 ,$45.61 ,$50.70 ,$34.95 ,$9.28 
6/24/13,$79.16 ,$4.05 ,$41.41 ,$33.48 ,$27.24 ,$28.88 ,$24.06 ,$23.72 ,$10.64 ,$23.58 ,$193.54 ,$33.72 ,$55.59 ,$14.12 ,$35.38 ,$22.01 ,$44.09 ,$48.34 ,$34.19 ,$8.95 
6/25/13,$79.66 ,$4.15 ,$41.91 ,$34.04 ,$27.29 ,$29.52 ,$24.01 ,$23.65 ,$10.83 ,$23.88 ,$194.98 ,$33.67 ,$56.35 ,$14.22 ,$36.11 ,$22.10 ,$45.23 ,$48.50 ,$35.02 ,$8.97 
6/26/13,$79.56 ,$4.14 ,$42.76 ,$34.64 ,$27.53 ,$30.17 ,$24.39 ,$23.89 ,$10.90 ,$24.01 ,$194.86 ,$34.35 ,$57.49 ,$14.14 ,$37.96 ,$22.52 ,$45.42 ,$50.40 ,$34.96 ,$8.95 
6/27/13,$80.22 ,$4.08 ,$42.69 ,$34.92 ,$28.80 ,$30.53 ,$24.63 ,$23.57 ,$11.25 ,$24.05 ,$195.65 ,$34.62 ,$57.84 ,$14.01 ,$38.12 ,$22.50 ,$45.74 ,$51.11 ,$34.85 ,$9.18 
6/28/13,$71.96 ,$4.08 ,$42.55 ,$33.94 ,$28.62 ,$29.29 ,$24.34 ,$23.62 ,$11.26 ,$24.23 ,$191.11 ,$34.55 ,$57.73 ,$14.04 ,$37.89 ,$22.48 ,$45.54 ,$50.23 ,$34.85 ,$9.07 
7/1/13,$72.10 ,$4.10 ,$42.97 ,$33.80 ,$28.23 ,$29.52 ,$24.34 ,$23.61 ,$11.32 ,$23.89 ,$191.28 ,$34.36 ,$57.98 ,$14.10 ,$38.56 ,$22.48 ,$46.41 ,$50.64 ,$35.05 ,$9.24 
7/2/13,$72.12 ,$3.97 ,$42.55 ,$33.49 ,$27.98 ,$29.46 ,$24.32 ,$23.78 ,$11.36 ,$23.72 ,$191.50 ,$33.94 ,$57.49 ,$14.09 ,$38.08 ,$22.44 ,$46.20 ,$50.02 ,$35.13 ,$9.23 
7/3/13,$72.68 ,$4.06 ,$42.69 ,$33.49 ,$28.05 ,$29.17 ,$24.59 ,$23.97 ,$11.43 ,$23.76 ,$193.25 ,$34.01 ,$57.26 ,$14.13 ,$40.21 ,$22.36 ,$46.27 ,$51.39 ,$35.47 ,$9.28 
7/5/13,$73.64 ,$4.07 ,$43.03 ,$34.16 ,$28.26 ,$29.33 ,$24.57 ,$24.13 ,$11.61 ,$24.06 ,$194.93 ,$34.21 ,$57.93 ,$14.24 ,$41.01 ,$23.02 ,$46.70 ,$51.69 ,$36.00 ,$9.44 
